,Day,Max_Temperature,Avg_Temperature,Min_Temperature,Max_Dew_Point,Avg_Dew_Point,Min_Dew_Point,Max_Humidity,Avg_Humidity,Min_Humidity,Max_Wind_Speed,Avg_Wind_Speed,min_Wind_Speed,Max_Pressure,Avg_Pressure,Min_Pressure,Precipitation,month,year
132,21,104,90.6,77,36,27.0,19,18,11.0,6,14,6.7,0,27.9,27.8,27.8,0.00,5.0,2018.0
133,22,104,91.8,75,32,26.3,19,21,10.1,6,10,4.3,0,27.9,27.8,27.8,0.00,5.0,2018.0
134,23,104,93.8,81,32,27.5,25,14,9.6,6,12,6.1,0,27.9,27.8,27.7,0.00,5.0,2018.0
135,24,104,92.8,79,34,30.1,28,16,11.2,7,14,6.0,0,27.8,27.7,27.6,0.00,5.0,2018.0
136,25,106,91.8,79,30,28.8,27,17,11.2,7,10,5.9,0,27.8,27.7,27.7,0.00,5.0,2018.0
137,26,102,92.4,79,36,33.4,30,21,12.8,9,9,5.2,0,27.8,27.7,27.7,0.00,5.0,2018.0
138,27,102,92.2,79,39,34.5,32,23,13.5,9,14,7.3,0,27.8,27.8,27.7,0.00,5.0,2018.0
139,28,104,92.0,77,36,31.3,27,21,12.3,7,15,6.3,0,27.8,27.7,27.7,0.00,5.0,2018.0
140,1,108,97.8,82,46,40.0,36,26,14.3,8,10,4.7,0,27.7,27.7,27.6,0.00,6.0,2018.0
141,2,111,99.6,86,46,40.7,37,19,13.5,9,9,5.0,0,27.7,27.6,27.6,0.00,6.0,2018.0
142,3,113,101.2,88,46,40.2,34,24,13.3,8,10,4.8,0,27.6,27.6,27.6,0.00,6.0,2018.0
143,4,111,101.4,90,54,43.9,34,29,15.6,9,12,5.9,2,27.6,27.6,27.5,0.00,6.0,2018.0
144,5,113,100.8,88,46,37.2,30,22,12.0,7,12,5.9,0,27.7,27.6,27.6,0.00,6.0,2018.0
145,6,113,100.4,86,41,33.6,28,18,10.5,6,12,5.3,0,27.8,27.7,27.7,0.00,6.0,2018.0
146,7,113,100.1,84,43,35.5,30,19,11.4,6,14,6.1,0,27.8,27.7,27.7,0.00,6.0,2018.0
147,8,113,96.3,0,34,30.8,0,14,9.1,0,20,9.9,2,27.7,27.7,27.6,0.00,6.0,2018.0
148,9,117,102.3,84,37,32.6,30,16,9.4,6,17,7.0,0,27.7,27.6,27.5,0.00,6.0,2018.0
149,10,111,102.3,93,34,29.6,25,12,8.2,6,16,10.8,5,27.6,27.6,27.5,0.00,6.0,2018.0
